Interactor 1	Interactor 2
Wdr24	mio
vap	Dscam1
Tom	mir-7
Arl2	betaTub56D
E(spl)m3-HLH	mir-7
Galphao	Ank2
grim	mir-2b-2
svp	rig
mars	ArfGAP3
Ahcy	AhcyL1
Lsp1beta	Seipin
mgr	betaTub56D
asp	Cam
RfC38	elg1
CG18542	mir-1
pim	thr
stwl	Wee1
msl-1	Mat1
Rab5	spri
His3	enok
e(y)2	Hpr1
rpr	mir-2a-1
Ing5	Eaf6
Mf	Cyt-c-p
bam	eIF4A
bap	mir-4
yem	c(2)M
pan	mir-313
Ndc80	Top2
mei-P26	mir-137
RpL24-like	l(2)k09848
eIF6	l(2)k09848
insv	Seipin
Moe	crb
Galphao	RapGAP1
vimar	mir-277
ex	Cul1
BobA	mir-79
gro	snRNP-U1-C
Chd64	mir-1
skl	mir-6-3
Orc3	Orc5
Swip-1	Arpc4
Csp	TBPH
CG9581	ds
fz3	wg
mir-308	Myc
shot	betaTub56D
E(spl)mdelta-HLH	mir-2a-1
E(spl)m5-HLH	mir-4
lft	ds
Bap55	akirin
ktub	mir-124
mir-219	tau
Pc	Set8
cg	ph-p
Ilp6	mir-8
fy	frtz
rt	mir-12
Bap60	akirin
E(spl)mdelta-HLH	mir-4
Scp1	Cyt-c-p
Wdr24	Nprl3
gro	His1
e(y)2	Orc5
CG31121	mir-1
Dredd	betaTub56D
SP555	mir-279
Orc4	PCID2
Apc2	Tnks
mars	dgt3
Brd	mir-7
CrebA	mir-92b
E(spl)malpha-BFM	mir-2a-2
Seipin	SERCA
mio	Iml1
Nfs1	ds
Dg	mir-313
l(1)sc	mir-124
cad	eIF4B
Creld	mir-1
Pka-C1	cos
Pax	Atg1
E(spl)m5-HLH	mir-79
skl	mir-6-1
mts	wrd
CHOp24	wg
e(y)2	mor
CG6712	l(2)k09848
rpr	mir-2b-1
Targ2	betaTub56D
e(y)2	thoc5
cpb	Arpc4
e(y)2	Orc6
Ama	mir-124
sinu	mir-1
osk	bsf
Dg	LanB1
grim	mir-2a-1
SMC3	vtd
SERCA	ds
Orc2	Rbf
Cenp-C	Top2
hid	mir-6-1
hid	mir-6-2
grim	mir-11
c(2)M	SMC1
Nnp-1	l(2)k09848
e(y)2	PCID2
wls	wg
Arpc3A	Arpc4
fz	wg
Liprin-alpha	brp
rpr	mir-6-1
Khc	klar
msl-3	Top2
tsr	scrib
usp	foxo
smo	gish
Rel	akirin
E(z)	Sce
Nprl2	mio
fy	in
EcR	rig
pk	dachs
Pc	Adf1
Scm	corto
Chc	egl
Lar	mir-289
skl	mir-308
egl	ftz
kto	ci
E(spl)malpha-BFM	mir-11
usp	rig
Liprin-alpha	Pp2A-29B
mts	CycG
Rac1	scrib
RfC38	Br140
gig	mTor
san	vnc
tutl	mir-1
skl	mir-2b-1
pk	ds
E(spl)malpha-BFM	mir-79
pit	l(2)k09848
E(spl)m4-BFM	mir-4
ph-p	corto
CG5033	l(2)k09848
vap	BubR1
rpr	mir-2a-2
Cow	wg
Seipin	apolpp
BEAF-32	Chro
dlg1	wake
dlg1	gukh
Khc	Liprin-alpha
ric8a	Frq2
thr	Sse
skl	mir-6-2
Cp190	rump
Cs1	Cyt-c-p
pcx	mir-124
CG8142	elg1
orb	Atg12
Arpc2	Arpc4
orb	Atg7
nito	Hipk
E(spl)m4-BFM	mir-11
regucalcin	Seipin
cos	Ubr3
dor	Syx17
mars	Gtpbp2
arm	mir-92a
CG5704	mir-184
vap	east
mir-8	Tl
sinu	mir-124
Wee1	pyd
Eaf6	elg1
yem	vtd
hiw	Nmnat
e(y)2	thoc6
Pka-C1	ci
corn	betaTub56D
wupA	Cyt-c-p
CG5177	Cyt-c-p
arm	dsh
wit	mir-124
skl	mir-13a
sbr	Orc3
Mtpbeta	ds
egl	osk
Cdc45	grp
Cad96Ca	Src64B
wrd	Liprin-alpha
I-2	l(2)k09848
yem	SMC3
spen	trr
Non1	l(2)k09848
CG13060	mir-8
hry	mir-7
e(y)2	tho2
Liprin-alpha	Rim
dor	Rbsn-5
SkpB	Cyt-c-p
Mlc2	Cyt-c-p
snRNA:7SKa	bin3
e(y)2	thoc7
CG1103	mir-124
CG6937	l(2)k09848
rpr	mir-13b-2
imd	Dredd
Wee1	Klp10A
H	mir-124
CG11807	eEF1alpha1
mle	Top2
E(spl)m5-HLH	mir-7
slmb	ds
Arpc1	Arpc4
NTPase	mir-124
E(spl)m4-BFM	mir-79
rpr	mir-2b-2
e(y)2	Orc4
nkd	mir-124
sbr	Hpr1
Mad	mir-ban
Mlc1	Cyt-c-p
skl	mir-2a-1
Cad96Ca	Src42A
HP1b	Tctp
Mmp1	mir-124
e(y)2	betaTub56D
tkv	mir-124
CG7148	Cyt-c-p
bcd	snRNA:7SKa
scu	mldr
Su(var)205	Orc5
Rpn10	stx
sax	mir-124
Br140	Eaf6
futsch	cac
Ing5	elg1
Gpdh1	Cyt-c-p
Dref	Caf1-55
scf	Top2
Cpr56F	mir-8
c(2)M	vtd
orb	Atg1
Tctp	HP1c
mod(mdg4)	rump
Debcl	slmb
Orc3	PCID2
Act57B	Arpc4
Cyp4ac1	betaTub56D
cg	Psc
car	Vps8
Br140	RfC4
wge	mute
E(spl)malpha-BFM	mir-4
enok	Eaf6
Lsp1gamma	Seipin
grim	mir-13b-2
fng	mir-7
ttk	mir-92b
dl	mir-8
Tsp2A	Ssk
skl	mir-2b-2
grim	mir-2b-1
Synj	mnb
E(spl)mgamma-HLH	mir-4
spen	Hipk
Lam	wash
up	Cyt-c-p
car	Syx17
mts	Liprin-alpha
Btk	Cad96Ca
mei-P26	U2A
Tom	mir-4
esc	corto
Arpc5	Arpc4
rpr	mir-2c
Lar	mir-958
E(spl)malpha-BFM	mir-2a-1
grim	mir-2c
Rbm13	l(2)k09848
Gli	mir-124
lncRNA:roX2	Unr
yrt	aPKC
morgue	Diap1
Adh	Cyt-c-p
arm	mir-92b
CG17065	mir-1
Prp8	CG12320
mle	Unr
klar	stau
WASp	Amph
Iswi	Dref
Trf2	Caf1-55
Strip	spri
Idgf3	mir-8
CycG	wrd
Arp2	Arpc4
chn	mir-124
ey	da
cg	Pc
Chrac-14	Top2
e(y)2	Orc3
cad	Adf1
CG8142	Br140
Prx4	mir-1
CG6550	betaTub56D
Mad	mir-124
dgt5	mars
Pka-C1	smo
Syn	TBPH
lok	Mcm6
Idgf2	mir-8
Pc	corto
Swim	wg
rpr	mir-6-2
Axs	mir-124
Argk1	Cyt-c-p
dpa	lok
ftz-f1	gce
grim	mir-308
gro	ey
Sas-4	betaTub56D
CSN5	CSN4
AGO3	zuc
E(spl)mdelta-HLH	mir-7
CG32109	ds
E(spl)mgamma-HLH	mir-7
BobA	mir-4
mir-8	wg
cg	ph-d
BobA	mir-7
l(1)G0289	ds
Ing5	Br140
skd	ci
Dp	Orc2
Ubx	eIF4B
Sgf11	betaTub56D
E(spl)mdelta-HLH	mir-2a-2
Brd	mir-4
dor	Vps8
aPKC	orb2
Dcp-1	Drice
grim	mir-2a-2
su(Hw)	rump
rpr	mir-13a
apolpp	wg
Idgf6	mir-8
Iswi	Top2
E2f1	Orc2
ftz-f1	rig
cid	Chrac-14
wap	ds
Dref	Trf2
Torsin	Fmr1
exu	bsf
RpL7-like	l(2)k09848
drk	Cad96Ca
sesB	Dcp-1
CG42337	mir-124
fz2	Impbeta11
Stat92E	mir-279
BobA	mir-11
crim	mir-1
Als2	mir-1
Adgf-A	mir-8
srp	Adf1
h-cup	eEF1alpha1
Mef2	mir-124
Inos	ds
kat80	Patronin
skl	mir-11
btz	bsf
mldr	rswl
Ipo9	ds
dachs	ds
mars	dgt6
mars	Fs(2)Ket
por	wg
Cp190	insv
smo	mir-960
Cp110	ana3
snf	Sf3b1
Taf9	Sf3b5
Mec2	CCT8
Sas-6	ana1
fzy	fzr
Sf3b3	Sgf29
Cp110	Cep135
Sf3b3	Ada1-2
Past1	CCT8
Taf12	Sf3b5
cnn	Lk6
aurA	pins
Sf3b2	Sf3b5
Gfat2	CCT8
Plp	ana1
tacc	Nek2
Debcl	Buffy
SAK	Cep97
smo	mir-12
Glt	CCT8
Cdc27	fzr
CG33303	CCT8
e(y)2	Spt20
Spt20	Sgf11
snf	SmD3
CycB	pum
Kr-h2	CCT8
Clk	Cka
Sf3b3	wda
wal	CCT8
DCAF12	CCT8
ana2	asl
aurA	spd-2
viaf	CCT8
CCT6	CCT8
ana2	Cep135
aurA	ana2
Gcn5	Sf3b5
U2A	Spt3
Cul1	Sans
mus312	Ercc1
Gem3	Tgs1
Sf3b5	SmE
spdo	Psn
polo	ana2
sNPF-R	mir-9a
CycB	nanos
Rpn1	CCT8
Cep97	ana1
ana2	ana1
spd-2	Nek2
Psa	CCT8
SAK	ana1
Spt20	Sf3b5
Spt20	Nipped-A
CG1371	CCT8
SmD3	Sf3b5
baz	Patj
FASN1	CCT8
Ada3	Spt20
Cep97	Plp
Sf3b3	Ada2b
kst	Patj
spd-2	Cp110
Spt7	Spt3
Z600	Nup50
CG3008	CCT8
Sf3b3	Spt3
tkv	mew
cnn	Nek2
ScsbetaG	CCT8
Cad99C	Ubr3
spd-2	ana1
Chc	CCT8
cnn	tacc
cnn	ana2
abd-A	mir-iab-8
Saf6	Sf3b5
Z600	Apl
snf	SmB
shot	alpha-Spec
arm	NitFhit
Aplip1	Rbp
p53	mir-279
pum	hid
Fatp1	CCT8
Taf10b	Spt20
fu	mir-960
mei-9	mus312
Tbp	mbf1
Ada3	Sf3b5
Ercc1	hdm
fzy	spd-2
Sas-4	ana1
Nek2	Cep135
Cdc16	fzr
Gp93	CCT8
tacc	asl
p53	mir-305
Atxn7	Sf3b3
Mcad	CCT8
ana2	Nek2
Grip84	fzr
Mpcp2	CCT8
CCT1	CCT8
cnn	Cep97
kst	kibra
Z600	Cdk1
Mcm7	Mcm3
Tbp	Mef2
alpha-Spec	Patronin
Cp110	Cep97
e(y)2	Sf3b5
sona	wg
cos	mir-12
if	sog
Z600	Nup54
mus312	slx1
OstDelta	CCT8
Spt3	SmB
Cp110	ana1
not	Spt20
Rab7	CCT8
bcd	nanos
spidey	CCT8
dlg1	sona
Rpt1	CCT8
SAK	ana2
polo	ana1
Spt3	Sf3b5
E2f1	dom
Sas-4	Lk6
Dg	trol
CCT5	CCT8
Taf10b	Spt3
Vps4	CCT8
l(3)mbt	E2f1
per	sgg
Pp2A-29B	CCT8
Tbp	apt
cnn	Cep135
Sf3b5	Ada1-2
cos	mir-960
CG3430	Mcm3
SAK	Cep135
SmF	Sf3b5
aurA	SAK
mei-9	hdm
not	Sf3b5
ScsbetaA	CCT8
jigr1	mir-92a
Lk6	ana2
ck	Sans
Gp210	CCT8
Spt20	SmD1
Sf3b5	Sgf29
Cnx99A	CCT8
Drep2	tyn
noi	Sf3b5
ana2	Cp110
Z600	Nup214
CycA	Z600
Ubx	mir-iab-8
Rpt6	CCT8
Spt3	SmE
bcd	pum
CCT3	CCT8
Taf10b	Sf3b5
jigr1	mir-92b
cnn	ana3
snf	Sf3a1
Cyp12d1-p	CCT8
snf	Sf3a2
Atxn7	Sf3b5
baz	Mbs
snf	SmD1
ana2	Cep97
yki	Fs(2)Ket
ana1	ana3
boca	CCT8
ana2	Plp
Cdc27	spd-2
kay	rl
Spx	Sf3b5
Ost48	CCT8
Mbs	crb
wda	Sf3b5
BicC	Not3
Jra	mbf1
Mcm5	Mcm3
ex	Ack
tacc	ana1
Sas-4	Nek2
Gcn5	Spt20
Sgf11	Spt3
CG42383	Sec22
Ipo9	CCT8
snf	Spx
Cdc23	fzr
Khc	Unc-76
His1	piwi
Lk6	Cp110
Kap-alpha1	yki
hb	nanos
wdp	dome
Rbp	cac
Spt7	Spt20
Rim	Rbp
Spt20	Spt3
BicC	twin
gammaTub23C	fzr
dco	tim
Sf3b5	Nipped-A
Lk6	ana1
RpS2	Zfrp8
yrt	Nrg
polo	fzr
Khc	milt
aurA	asl
aurA	Nek2
Cul1	Cad99C
kst	shot
spn-A	Rrp6
Clk	Strip
Nek2	Cp110
snf	SmE
cnn	Cp110
CCT7	CCT8
UQCR-6.4	CCT8
cora	mir-184
tkv	mys
Sf3a2	Sf3b5
tacc	ana2
p53	mir-1014
Spt7	Sf3b3
bsk	Jra
Rac1	GEFmeso
Taf12	Spt20
polo	SAK
Sf3b5	SmB
Tbp	Taf105
not	Spt3
Rdh1	CCT8
Spt3	SmD1
cnn	ana1
Z600	Nup358
shtd	fzr
snf	noi
Gem3	icln
Nfs1	CCT8
CCT4	CCT8
UQCR-C2	CCT8
Jra	rl
sgg	tim
CycG	Asx
mei-9	Ercc1
Sf3b3	Spt20
Z600	CycE
fu	mir-12
Dp	Tip60
snf	Sf3b3
spd-2	fzr
Jra	chm
Taf12	Spt3
Idh3a	CCT8
Saf6	Sf3b3
Cdk1	fzr
snf	Sf3b6
Sf3b5	SmD2
Pka-C3	sws
RpS3	LTV1
p53	mir-219
snf	Sf3b5
Khc-73	mir-313
Ada2b	Sf3b5
Sf3b5	SmD1
betaCOP	CCT8
lig	orb2
tim	Clk
Nipped-B	Mau2
Lk6	Nek2
fax	CCT8
tacc	Plp
Nek2	Plp
Grip71	fzr
Spt7	Sf3b5
U2A	Sf3b5
Phf5a	Sf3b5
vvl	mir-184
Akt	wdb
snf	Phf5a
Act5C	Mical
e(y)2	Spt3
Nek2	ana1
spd-2	ana2
MRP	CCT8
cnn	Sas-6
Sans	Ubr3
Kap-alpha3	CCT8
Lk6	ana3
mr	fzr
Z600	emb
shd	CCT8
Pi3K68D	CCT8
kst	Mer
aurA	Sas-4
polo	Sas-4
Sf3b5	Sf3a1
spd-2	Plp
sog	mew
kst	ex
ana2	Sas-6
Taf9	Spt20
Sas-4	spd-2
Z600	CycB3
SAK	Cp110
Sgf11	Sf3b5
aurA	ana1
Sf3b5	SNRPG
CCT2	CCT8
Sec61alpha	CCT8
aurA	Cp110
kay	HDAC1
Cp110	Plp
lok	Mcm3
Spt20	SmB
Nek2	asl
SerRS	CCT8
GluProRS	CCT8
aurA	Lk6
CycB	Z600
snf	Sf3b2
cnn	fzr
eEF2	Akt
Pdk1	yps
CG12909	Lkb1
CG30122	S6kII
Dlip2	dl
Akt	Afg3l2
Max	Myc
S6kII	kis
dlg1	mir-34
Clk	Bap55
smg	Caf1-55
Ctf4	Lkb1
TfIIFbeta	Tsc1
RpS23	Lkb1
qkr58E-2	foxo
brm	gig
H	asf1
CG42354	S6kII
hfp	sima
Nup50	Myc
Hsc70-3	Thor
l(2)09851	Rheb
RpL13A	Myc
RpS23	S6kII
RpL36	rictor
pzg	sima
MBD-R2	wds
lqfR	Myc
dco	Dlish
msk	rictor
aPKC	Myo10A
eIF4G1	rictor
RpL7	S6kII
Tsc1	eIF3a
Act57B	Rheb
Droj2	sima
dbo	Pak
rictor	CG7564
foxo	alt
gig	TfIIFbeta
smid	S6kII
lds	foxo
Abi	Hexo2
Fib	S6k
mahj	Lkb1
l(2)09851	rictor
gig	CG31550
cindr	rictor
Pi3K92E	Ipo9
rictor	eIF3b
Ogdh	sima
RAF2	S6kII
Akt	SERCA
Akt	RpS9
Chc	rictor
Sec63	S6kII
Myo10A	elgi
Ctf4	foxo
gig	UQCR-C2
rictor	Nup358
rictor	RpS7
Raf	Ras85D
Rbcn-3A	Tsc1
mst	Pfdn5
Pdk1	Nfs1
RpL23A	S6kII
RPA1	S6k
RpS9	foxo
Akt	Dref
rictor	mRpS23
Tsc1	CG5033
Tm1	yuri
pk	mir-1
nanos	tral
DCTN1-p150	alphaTub67C
qkr58E-1	Ythdc1
Mcm7	Psf2
Fmr1	rictor
Pdk1	Rpt1
smg	CG13928
ck	mir-92a
Pdk1	Rpt5
Lkb1	Mat89Ba
pzg	S6kII
Aldh	Pdk1
Hrb98DE	InR
Hsc70-3	gig
Akt	Ipo9
mip130	Rbf2
Pten	CG2691
polo	tum
RhoGEF2	Tsc1
Gar1	Pi3K21B
pan	mir-8
eEF1gamma	Lkb1
Pkc53E	IKKepsilon
Ref1	foxo
RanGAP	Tsc1
Dlip3	dl
CG15784	Thor
Rm62	gig
mof	MBD-R2
msl-1	MBD-R2
Pten	ncm
Lkb1	eIF2alpha
His2Av	rad50
stau	cpx
gig	RpL18A
Akt	CG15784
eIF3c	pix
CG2691	foxo
Myc	CkIIalpha
Sf3b2	sima
mahj	sima
CG4364	foxo
Tsc1	CG1513
gig	smid
gig	Zn72D
Pdk1	Shmt
foxo	Sarm
Nph	S6kII
Bap55	Tsc1
RpL7A	S6kII
gig	Prp3
Dcr-1	vas
Pten	ana2
NHP2	rictor
mle	Hrb87F
Akt	Rpt4
CkIIbeta	rictor
wek	Myd88
Rheb	RpS6
put	babo
Pdk1	lic
usp	MED1
mys	Ret
Rbcn-3A	S6kII
kay	piwi
Khc	nuf
Thor	eIF4E3
rictor	RpL8
Ubi-p63E	CYLD
Pi3K92E	Droj2
simj	MEP-1
RpL15	foxo
Pten	Cpsf6
nonA	Thor
Akt	CCT7
gig	c12.1
eIF3k	foxo
gig	CG10333
brm	rictor
Osbp	rictor
gig	eIF3g1
Pten	CG13185
Noc2	Rheb
Rm62	Tsc1
Polr1A	foxo
CG1620	foxo
Lkb1	Sarm
mir-277	mbl
msl-3	MBD-R2
CYLD	Ubi-p5E
gig	alt
CG1703	S6kII
GluRIIA	cora
rictor	Non2
rictor	CG3817
Septin2	Uba2
Gale	S6k
CycB	Rlip
RpS7	sima
gig	RpL26
Rm62	Pi3K92E
Scm	Su(z)2
RpL18A	Myc
Grip91	Grip71
mip130	Caf1-55
ph-p	Top2
RpLP1	Tsc1
EcR	alien
cora	Tsc1
Arc1	S6kII
cup	Gp93
gcm	mir-279
rictor	Gale
Pdk1	RpL10
Akt	Rpn5
eIF4A	Rheb
mle	MEP-1
gig	Mat89Ba
emc	sage
gig	RpS6
cav	tea
Pfdn2	mst
RpS7	Rheb
gig	CkIIalpha
sqh	sima
bif	Rheb
kuk	sima
Tsc1	CG31550
CG14820	egg
Akt	GstE7
mor	Clk
CCT1	S6k
SsRbeta	sima
His1	His2B
RpL23A	Myc
Su(var)205	rictor
nuf	Dlic
BicC	orb
gig	pzg
Pdk1	mask
kay	mir-1
RpL18	orb2
tai	ab
Act5C	osk
ACC	S6kII
N	Cdk8
gig	MEP-1
gig	Tailor
Nop60B	S6kII
osk	slam
Rack1	sima
Akt	Pp2A-29B
Tsc1	bsf
Hsc70-3	Pi3K21B
Act5C	Rheb
gig	rin
usp	MED14
Spx	rictor
Akt	CG9281
gig	CG9776
gig	CG11417
Hsp26	Myo10A
chico	RpL18
Pdk1	Vps4
Pi3K92E	Zn72D
ncd	Lkb1
ssx	S6kII
Clk	Bap111
His1	His4
gig	CG7564
Pi3K21B	RpS6
tkv	Rab5
Tsc1	CG2691
CG5504	Akt
Tsc1	CG15784
rictor	rump
lwr	pnut
AsnRS	sima
sw	vas
gig	pins
mof	Nup98-96
RpL9	Tsc1
nanos	sw
trh	tgo
gig	U4-U6-60K
AnxB9	kst
cDIP	dpr21
ase	da
blanks	sima
RpS9	Pdk1
qkr54B	orb2
RpS9	Thor
Pi3K92E	RpL9
dpp	sax
kst	Myc
Tsc1	CG1620
Egfr	Ptp10D
14-3-3zeta	S6k
RpL36	S6kII
Pdk1	RpL28
RpL27	S6kII
Lkb1	Rrp6
fl(2)d	eIF4E1
Hrb98DE	pum
S6kII	Zn72D
Prp8	foxo
RpL14	rictor
gig	l(1)G0020
Ipo9	foxo
Pi3K92E	rin
RpL14	Thor
Pi3K92E	larp
eIF3g1	Thor
Pdk1	ScsbetaG
gig	RpL18
Psf3	Psf2
vig	S6kII
RpL28	Lkb1
kst	sima
RpL7A	Lkb1
Rpt3	Rheb
qkr58E-3	foxo
Iswi	sima
osk	didum
Abi	orb2
gig	Nup358
RpS17	S6kII
RpLP1	Pdk1
CG2691	rictor
CG4612	orb2
faf	rictor
rictor	Caper
rictor	RfC4
Sam-S	Akt
Bap55	rictor
Gale	sima
HDAC1	Charon
Rbf	mip40
Gtpbp1	sima
rictor	LBR
cathD	sima
RpL9	Lkb1
Tsc1	CG30122
Hem	Ptp61F
Cul1	Dlish
Pi3K92E	RpL17
Rip11	S6kII
Gp93	sima
Rpn11	sima
ncd	Pten
osk	CG7627
Hsc70-3	Pdk1
msl-3	Rrp6
Hexo2	orb2
Hsf	MED17
Akt	mRpL12
Pdk1	eIF3m
RpL18A	sima
usp	Hsc70-4
Akt	Ost48
Sf3b2	foxo
CG7564	S6kII
CCT3	mst
Ythdc1	Dsp1
kst	gig
Akt	Shmt
Pi3K21B	RpL8
Ran	tamo
qkr58E-3	Tsc1
RanGAP	Pten
vig2	S6kII
CCT7	Rheb
kuk	S6kII
Nup358	S6kII
Tehao	Tl
orb	Atg2
RpS16	S6kII
Hsc70-3	chico
Lkb1	PolA1
Tsc1	Zn72D
Psi	snRNP-U1-70K
if	mys
Pdk1	RhoGAP18B
chic	rictor
Rai1	Rat1
Pi3K92E	RpS6
Cpsf100	Sym
Polr2A	Tctp
RpL18	foxo
Pi3K21B	rump
RpS14a	Thor
Pi3K92E	iPLA2-VIA
gig	alpha-Spec
gig	eIF3i
Pi3K21B	Ubi-p5E
Lkb1	Nup98-96
gig	nop5
gig	cora
dpa	Cdc45
Pdk1	cathD
gig	RpL17
Psi	Pi3K92E
Tsc1	Mi-2
S6kII	SF2
Men	osk
mip120	Rbf2
RpS15	sima
eIF3i	foxo
Rbf2	Caf1-55
EcR	kto
piwi	Dcr-1
Myb	Dp
Scm	Su(z)12
nanos	eIF4G1
osk	DCP1
alpha-Spec	sima
RpS7	Thor
Txl	sima
msn	Pi3K21B
Tsc1	spoon
DIP-iota	dpr1
lncRNA:Hsromega	Saf-B
Tsc1	Non3
Mcm7	Cdc45
Tsc1	eIF3k
gig	CG1620
eIF3b	sima
RpL10	Rheb
rictor	mask
dsh	dlg1
rictor	Sec63
dpp	tkv
gig	mRpS31
CtsF	sima
mst	Pfdn1
Prp19	Myc
Pdk1	RpS26
Clk	Bap60
Pdk1	Mec2
CCT1	Myc
Eb1	Myo10A
Met	usp
Pten	CG15784
nonA	Pi3K21B
Pdk1	larp
Pef	S6k
CCT1	foxo
mle	Pi3K21B
dsx	tra
gig	CG8545
Cp190	gammaTub23C
eya	hop
zda	S6kII
Psi	Pi3K21B
rictor	CG5787
osk	CG5726
CG7564	foxo
gig	Ref1
CCT5	S6k
Pdk1	CCT6
Pdk1	mahj
RpLP1	InR
snf	eIF4E1
foxo	Nop60B
gig	faf
eIF3b	pix
gig	Ars2
RpL17	Thor
Pten	MEP-1
usp	egg
simj	Caf1-55
14-3-3zeta	Pten
del	cuff
Thor	RpS6
Fsn	vas
RpL10	sima
aph-1	Nct
rictor	MEP-1
Kap-alpha3	S6k
chn	CoRest
Pi3K21B	CG30122
mst	STUB1
gig	cindr
Akt	RpL17
Mcm7	S6k
Tsc1	Cdc5
gig	Cmtr1
Akt	Rack1
Pdk1	Strica
alt	Rheb
Map60	gammaTub23C
Gapdh1	kra
rictor	Prp19
Akt	Rpt1
gig	CG5787
fl(2)d	Ythdc1
RpL10	rictor
alphaTub84B	mof
RpS15Aa	Lkb1
Rcd1	wds
Iswi	foxo
Pdk1	HnRNP-K
ScsbetaG	sima
LUBEL	Ubi-p5E
E2f2	Rbf2
mys	rhea
Pi3K92E	RpL21
gig	SrpRalpha
Mybbp1A	sima
bif	rictor
Pi3K92E	alt
spir	egg
Ldh	S6k
Chd64	S6k
eIF3h	Tsc1
Thor	Ns3
Pi3K21B	larp
wek	Toll-9
Dref	sima
Pdk1	GCS2beta
gig	eIF3e
Tsc1	RpS15
Akt	CCT5
CG1677	S6kII
Akt	Hel25E
RpL35A	Thor
tum	sima
RpL18A	foxo
Akt	RpS7
ncd	Pdk1
RpS14a	Lkb1
Nipped-B	vtd
Cdc5	sima
mle	simj
Pnn	S6kII
Pi3K21B	Patronin
Shmt	rictor
Akt	Trmt2a
eIF3i	Pdk1
Iswi	rictor
mst	CCT7
MED17	dl
RpL14	foxo
Akt	Akap200
Scm	G9a
Ldh	sima
Pi3K21B	RpL27
RpL36	Rheb
borr	Incenp
RpL35A	foxo
sha	mir-92b
pnut	sip1
osk	CG16974
tyf	Tsc1
rush	S6kII
cindr	nsl1
gig	Rbcn-3A
Cdc45	Psf2
Usp10	sima
eIF3m	S6kII
EcR	MED26
skd	usp
Rheb	FASN1
eIF3b	foxo
Cap-D2	vas
eEF2	sima
CG15019	S6kII
aub	Fmr1
alpha-Spec	Myc
hid	mir-263b
Gnf1	sima
EcR	Chd64
cg	EcR
Rbcn-3A	rictor
AGO2	S6kII
Pten	ACC
Mbs	rictor
14-3-3zeta	B4
sgg	futsch
Dref	S6k
gig	eIF3b
Pi3K92E	RpS7
Tsc1	CG32409
Ref1	rictor
Tsc1	Ipo9
rictor	coro
gig	CG8939
Akt	cathD
Hsc70-3	foxo
CG13096	Rheb
brm	Clk
Syp	Hexo2
CCT1	sima
Pi3K21B	Usp10
pll	Tehao
Dlish	Fbxl7
Pdk1	ScsbetaA
RpL17	sima
Hsc70-3	S6k
bcd	eIF4EHP
osk	Ork1
ncd	Pi3K92E
Socs16D	Myo10A
CG3817	S6kII
Pi3K21B	Droj2
Akt	ScsbetaG
Pi3K92E	RpS23
Pi3K92E	Pyk
dap	mir-309
Mon1	Ccz1
Pi3K21B	alt
Tsc1	CG15019
Tsc1	CG5787
Tsc1	CG5645
lark	trol
cindr	Myc
His3	JIL-1
spn-E	barr
CCT6	foxo
RpL18	Rheb
Su(H)	Sirt1
gig	vig2
Pdk1	AGO2
gig	Spx
UQCR-C2	S6k
eIF3a	Lkb1
foxo	Syp
Akt	clu
Chc	S6k
gig	eIF3f1
Tsc1	sqd
Akt	hts
yps	Myc
RpL10Ab	Not1
ncd	gig
Ref1	S6kII
tgo	sima
RpS7	S6kII
Lkb1	Gyf
RpS6	Myc
CG8728	orb2
sqh	Rheb
gig	Nap1
usp	tai
hyd	Myc
foxo	RpS19b
rictor	eIF3d1
Nct	pen-2
gig	RpL9
rictor	RpS6
gig	pit
Pdk1	RpL8
Pten	alt
Pten	Cand1
Rm62	Pten
nsl1	Rcd5
ssx	orb2
rictor	Chro
bai	wg
RpL18	Thor
AsnRS	S6k
DIP-beta	dpr21
rictor	Opa1
PGRP-SD	PGRP-LC
alphaTub84D	Myo10A
gig	SsRbeta
fmt	sima
l(1)G0320	sima
Grip71	gammaTub23C
CG11417	Tsc1
RpS13	InR
N	MED21
sax	Dad
mst	PDCD-5
rin	Rheb
RpS4	S6kII
CG11417	Rheb
Fib	gig
beta'COP	foxo
Brr2	sima
S6kII	Caf1-55
CG5381	nsl1
Su(var)205	tea
Akt	eIF2gamma
CG1542	S6kII
Keap1	Atg8a
Rbf	Caf1-55
RpL13A	Thor
osk	lola
gig	Caf1-55
Myb	Rbf
Nsun2	Tsc1
Akt	Rpt5
mst	Smyd4-4
Tbp	TfIIA-S
RpL36	Thor
RpS15Aa	Pdk1
Chro	nsl1
Hsc70-3	S6kII
Rel	br
mof	Rcd5
pav	foxo
Ankle2	S6kII
osk	Duox
Pten	Tep4
Dif	MED17
RpS15Aa	Akt
Pi3K92E	Syp
Pi3K92E	RpS26
Psf3	Psf1
CG1677	sima
Hrb98DE	S6kII
rl	Lk6
smid	sima
ncd	sima
vig	Tsc1
qkr58E-3	Thor
RpL27	sima
Akt	CG2614
Pi3K92E	Rpt4
tud	Akt
GluRIIB	mir-284
Nfs1	S6k
mof	Rcd1
RpL23	Lkb1
Pdk1	RpL26
osk	Prm
Tsc1	Mink
Hel25E	sima
gig	Ns3
l(2)09851	Myc
CG6693	foxo
gig	sle
Spx	sima
ctp	sima
imd	PGRP-LC
RpL17	foxo
CG13096	S6kII
RpL4	S6kII
CCT1	melt
Pdk1	Pp2A-29B
